ID;Part Number;Description;Value;Footprint;Price;Stock;Container;Notes
IFS08-19f6bd8c-74dc-411a-929e-89bcd1d101c9;;Fuses miniblade 5A;5A;MiniBlade;;20;;
IFS08-3088449c-f01e-487f-b0d3-7c077ab76529;;Fuses miniblade 4A;4A;MiniBlade;;2;;
IFS08-abeaf81a-565d-4eeb-aa9c-03f8d4c51fec;;Fuses miniblade 2A;2A;MiniBlade;;3;;
IFS08-37aa51bc-cf0f-4201-a204-4e915e2e2a0d;;Fuses miniblade 7.5A;7.5A;MiniBlade;;5;;
IFS08-22a2257f-678a-47a9-a141-7534959d2c48;;Fuses miniblade 10A;10A;MiniBlade;;10;;
IFS08-adf2bc2f-1f4e-4633-899f-463a73da8e25;;Fuses miniblade 15A;15A;MiniBlade;;10;;
IFS08-e986f2ed-a8dd-469d-a6ce-e7adf13f37b4;;Fuses miniblade 20A;20A;MiniBlade;;10;;
IFS08-e3b23a29-8b8b-4c5d-8203-ee738a3c7daa;;Fuses miniblade 25A;25A;MiniBlade;;10;;
IFS08-af83bbaf-2e66-450f-bd9e-ae8a9000d216;;DCDC converter 24-5V;24-5V;OKI;;2;;
IFS08-8c83af0e-4a58-40c7-b95f-b1192017f8d0;;DCDC converter 12-5V;12-5V;OKI;;10;;
IFS08-bc718cca-b1c3-43fb-aaa8-cdac8a30c069;;DCDC converter 24-12V;24-12V;OKI;;2;;
IFS08-ad9e5a6f-7532-466d-abf6-3dffe1247ddc;3568;PortaFusibles;Portafusibles;MiniBlade;;3;;
IFS08-81b10735-d577-4941-b0d7-fc99549cf1b2;;Molex Microfit Female;8p;8p;;1;;
IFS08-bb7179f3-5b3a-4534-829f-b4338b0b13e7;;Molex Microfit Male;12p;12p;;7;;
IFS08-6d6b2cab-2804-4390-81f3-4dee4f9d972c;560112132019;Resistor 2k2;2k2;1206;;50;;
IFS08-295d9b1f-2f30-4faf-a4b2-d19f26f74bf3;5,60112E+11;Resistor 2k7;2k7;0603;;50;;
IFS08-b9b4c9e8-e036-4c69-8f85-995ccadce57c;5,60112E+11;Resistor 120k;120k;1206;;50;;
IFS08-054c4089-d535-45f9-af8c-039f63e5b327;5,60112E+11;Resistor 470k;470k;0805;;50;;
IFS08-e8664ab6-b652-4734-bb06-1b5ea9495d4f;8,85347E+11;Capacitor 47pF;47pF;0805;;50;;
IFS08-c9a740fb-8d04-4047-b8fb-e4852103074e;5,6005E+11;Resistor 500m;500m;2512;;20;;
IFS08-f6075325-1a82-42c0-8ef2-c246a2eb8c12;56011213207;Resistor 220k;220k;1206;;50;;
IFS08-1dfdc31e-325b-4733-b104-0dacfee56bed;5,60112E+11;Resistor 1k82;1k82;0805;;50;;
IFS08-74976332-0f12-466f-be3e-92be3fd701b1;5,6102E+11;Resistor 2k2;2k2;0612;;50;;
IFS08-e1968f7d-554f-458c-8f16-d2967a5eab00;5,60112E+11;Resistor 120;120;0603;;50;;
IFS08-59a1b07e-4712-49cc-9131-5de52b5900a1;5,60112E+11;Resistor 330k;330k;0805;;56;;
IFS08-b7ed6840-936b-4d4a-bfca-389e0e4fb18a;61303211221;Header 2.54;1x32M;1x32M;;10;;
